snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
78048006#,Infection by Candida species,129529011#,1,1,2,287573012#,Other specified candidiasis,AB2y,AB2y.00,129525017,NA,32
78048006#,Infection by Candida species,129529011#,1,1,2,395445010#,Other specified candidiasis NOS,AB2yz,AB2yz00,129525017,NA,32
78048006#,Infection by Candida species,129529011#,1,1,2,3769631000006113#,Candidosis,^ESCTCA376963,NA,129531019,NA,32
78048006#,Infection by Candida species,129529011#,1,1,2,3769611000006119#,Infection by Candida species,^ESCTIN376961,NA,129529011,NA,32
78048006#,Infection by Candida species,129529011#,1,1,2,287593016#,Candidiasis NOS,AB2z,AB2z.00,129525017,NA,32
78048006#,Infection by Candida species,129529011#,1,1,2,503749013#,Thrush,AB2-2,AB2..12,503749013,NA,32
78048006#,Infection by Candida species,129529011#,1,1,2,3769651000006118#,Candida infection,^ESCTCA376965,NA,503748017,NA,32
78048006#,Infection by Candida species,129529011#,1,1,2,288216014#,"[X]Candidiasis, unspecified",AyuE5,AyuE500,129525017,NA,32
78048006#,Infection by Candida species,129529011#,1,1,2,129530018#,Moniliasis,AB2-1,AB2..11,129530018,NA,32
78048006#,Infection by Candida species,129529011#,1,1,2,3769641000006115#,Monilia infection,^ESCTMO376964,NA,503747010,NA,32
78048006#,Infection by Candida species,129529011#,1,1,2,288215013#,[X]Candidiasis of other sites,AyuE4,AyuE400,129525017,NA,32
78048006#,Moniliasis,129530018#,1,1,2,129525017#,Candidiasis,AB2,AB2..00,129525017,NA,32
78048006#,Moniliasis,129530018#,1,1,2,287573012#,Other specified candidiasis,AB2y,AB2y.00,129525017,NA,32
78048006#,Moniliasis,129530018#,1,1,2,395445010#,Other specified candidiasis NOS,AB2yz,AB2yz00,129525017,NA,32
78048006#,Moniliasis,129530018#,1,1,2,3769631000006113#,Candidosis,^ESCTCA376963,NA,129531019,NA,32
78048006#,Moniliasis,129530018#,1,1,2,3769611000006119#,Infection by Candida species,^ESCTIN376961,NA,129529011,NA,32
78048006#,Moniliasis,129530018#,1,1,2,287593016#,Candidiasis NOS,AB2z,AB2z.00,129525017,NA,32
78048006#,Moniliasis,129530018#,1,1,2,503749013#,Thrush,AB2-2,AB2..12,503749013,NA,32
78048006#,Moniliasis,129530018#,1,1,2,3769651000006118#,Candida infection,^ESCTCA376965,NA,503748017,NA,32
78048006#,Moniliasis,129530018#,1,1,2,288216014#,"[X]Candidiasis, unspecified",AyuE5,AyuE500,129525017,NA,32
78048006#,Moniliasis,129530018#,1,1,2,129530018#,Moniliasis,AB2-1,AB2..11,129530018,NA,32
78048006#,Moniliasis,129530018#,1,1,2,3769641000006115#,Monilia infection,^ESCTMO376964,NA,503747010,NA,32
78048006#,Moniliasis,129530018#,1,1,2,288215013#,[X]Candidiasis of other sites,AyuE4,AyuE400,129525017,NA,32
78048006#,Candidosis,129531019#,1,1,2,129525017#,Candidiasis,AB2,AB2..00,129525017,NA,32
78048006#,Candidosis,129531019#,1,1,2,287573012#,Other specified candidiasis,AB2y,AB2y.00,129525017,NA,32
78048006#,Candidosis,129531019#,1,1,2,395445010#,Other specified candidiasis NOS,AB2yz,AB2yz00,129525017,NA,32
78048006#,Candidosis,129531019#,1,1,2,3769631000006113#,Candidosis,^ESCTCA376963,NA,129531019,NA,32
78048006#,Candidosis,129531019#,1,1,2,3769611000006119#,Infection by Candida species,^ESCTIN376961,NA,129529011,NA,32
78048006#,Candidosis,129531019#,1,1,2,287593016#,Candidiasis NOS,AB2z,AB2z.00,129525017,NA,32
78048006#,Candidosis,129531019#,1,1,2,503749013#,Thrush,AB2-2,AB2..12,503749013,NA,32
78048006#,Candidosis,129531019#,1,1,2,3769651000006118#,Candida infection,^ESCTCA376965,NA,503748017,NA,32
78048006#,Candidosis,129531019#,1,1,2,288216014#,"[X]Candidiasis, unspecified",AyuE5,AyuE500,129525017,NA,32
78048006#,Candidosis,129531019#,1,1,2,129530018#,Moniliasis,AB2-1,AB2..11,129530018,NA,32
78048006#,Candidosis,129531019#,1,1,2,3769641000006115#,Monilia infection,^ESCTMO376964,NA,503747010,NA,32
78048006#,Candidosis,129531019#,1,1,2,288215013#,[X]Candidiasis of other sites,AyuE4,AyuE400,129525017,NA,32
78048006#,Monilia infection,503747010#,1,1,2,129525017#,Candidiasis,AB2,AB2..00,129525017,NA,32
78048006#,Monilia infection,503747010#,1,1,2,287573012#,Other specified candidiasis,AB2y,AB2y.00,129525017,NA,32
78048006#,Monilia infection,503747010#,1,1,2,395445010#,Other specified candidiasis NOS,AB2yz,AB2yz00,129525017,NA,32
78048006#,Monilia infection,503747010#,1,1,2,3769631000006113#,Candidosis,^ESCTCA376963,NA,129531019,NA,32
78048006#,Monilia infection,503747010#,1,1,2,3769611000006119#,Infection by Candida species,^ESCTIN376961,NA,129529011,NA,32
78048006#,Monilia infection,503747010#,1,1,2,287593016#,Candidiasis NOS,AB2z,AB2z.00,129525017,NA,32
78048006#,Monilia infection,503747010#,1,1,2,503749013#,Thrush,AB2-2,AB2..12,503749013,NA,32
78048006#,Monilia infection,503747010#,1,1,2,3769651000006118#,Candida infection,^ESCTCA376965,NA,503748017,NA,32
78048006#,Monilia infection,503747010#,1,1,2,288216014#,"[X]Candidiasis, unspecified",AyuE5,AyuE500,129525017,NA,32
78048006#,Monilia infection,503747010#,1,1,2,129530018#,Moniliasis,AB2-1,AB2..11,129530018,NA,32
78048006#,Monilia infection,503747010#,1,1,2,3769641000006115#,Monilia infection,^ESCTMO376964,NA,503747010,NA,32
78048006#,Monilia infection,503747010#,1,1,2,288215013#,[X]Candidiasis of other sites,AyuE4,AyuE400,129525017,NA,32
78048006#,Candida infection,503748017#,1,1,2,129525017#,Candidiasis,AB2,AB2..00,129525017,NA,32
78048006#,Candida infection,503748017#,1,1,2,287573012#,Other specified candidiasis,AB2y,AB2y.00,129525017,NA,32
78048006#,Candida infection,503748017#,1,1,2,395445010#,Other specified candidiasis NOS,AB2yz,AB2yz00,129525017,NA,32
78048006#,Candida infection,503748017#,1,1,2,3769631000006113#,Candidosis,^ESCTCA376963,NA,129531019,NA,32
78048006#,Candida infection,503748017#,1,1,2,3769611000006119#,Infection by Candida species,^ESCTIN376961,NA,129529011,NA,32
78048006#,Candida infection,503748017#,1,1,2,287593016#,Candidiasis NOS,AB2z,AB2z.00,129525017,NA,32
78048006#,Candida infection,503748017#,1,1,2,503749013#,Thrush,AB2-2,AB2..12,503749013,NA,32
78048006#,Candida infection,503748017#,1,1,2,3769651000006118#,Candida infection,^ESCTCA376965,NA,503748017,NA,32
78048006#,Candida infection,503748017#,1,1,2,288216014#,"[X]Candidiasis, unspecified",AyuE5,AyuE500,129525017,NA,32
78048006#,Candida infection,503748017#,1,1,2,129530018#,Moniliasis,AB2-1,AB2..11,129530018,NA,32
78048006#,Candida infection,503748017#,1,1,2,3769641000006115#,Monilia infection,^ESCTMO376964,NA,503747010,NA,32
78048006#,Candida infection,503748017#,1,1,2,288215013#,[X]Candidiasis of other sites,AyuE4,AyuE400,129525017,NA,32
78048006#,Thrush,503749013#,1,1,2,129525017#,Candidiasis,AB2,AB2..00,129525017,NA,32
78048006#,Thrush,503749013#,1,1,2,287573012#,Other specified candidiasis,AB2y,AB2y.00,129525017,NA,32
78048006#,Thrush,503749013#,1,1,2,395445010#,Other specified candidiasis NOS,AB2yz,AB2yz00,129525017,NA,32
78048006#,Thrush,503749013#,1,1,2,3769631000006113#,Candidosis,^ESCTCA376963,NA,129531019,NA,32
78048006#,Thrush,503749013#,1,1,2,3769611000006119#,Infection by Candida species,^ESCTIN376961,NA,129529011,NA,32
78048006#,Thrush,503749013#,1,1,2,287593016#,Candidiasis NOS,AB2z,AB2z.00,129525017,NA,32
78048006#,Thrush,503749013#,1,1,2,503749013#,Thrush,AB2-2,AB2..12,503749013,NA,32
78048006#,Thrush,503749013#,1,1,2,3769651000006118#,Candida infection,^ESCTCA376965,NA,503748017,NA,32
78048006#,Thrush,503749013#,1,1,2,288216014#,"[X]Candidiasis, unspecified",AyuE5,AyuE500,129525017,NA,32
78048006#,Thrush,503749013#,1,1,2,129530018#,Moniliasis,AB2-1,AB2..11,129530018,NA,32
78048006#,Thrush,503749013#,1,1,2,3769641000006115#,Monilia infection,^ESCTMO376964,NA,503747010,NA,32
78048006#,Thrush,503749013#,1,1,2,288215013#,[X]Candidiasis of other sites,AyuE4,AyuE400,129525017,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,129525017#,Candidiasis,AB2,AB2..00,129525017,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,287573012#,Other specified candidiasis,AB2y,AB2y.00,129525017,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,395445010#,Other specified candidiasis NOS,AB2yz,AB2yz00,129525017,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,3769631000006113#,Candidosis,^ESCTCA376963,NA,129531019,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,3769611000006119#,Infection by Candida species,^ESCTIN376961,NA,129529011,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,287593016#,Candidiasis NOS,AB2z,AB2z.00,129525017,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,503749013#,Thrush,AB2-2,AB2..12,503749013,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,3769651000006118#,Candida infection,^ESCTCA376965,NA,503748017,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,288216014#,"[X]Candidiasis, unspecified",AyuE5,AyuE500,129525017,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,129530018#,Moniliasis,AB2-1,AB2..11,129530018,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,3769641000006115#,Monilia infection,^ESCTMO376964,NA,503747010,NA,32
78048006#,Candidiasis (disorder),818945015#,1,1,2,288215013#,[X]Candidiasis of other sites,AyuE4,AyuE400,129525017,NA,32
187005005#,Thrush,287526018#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
